id,title,all_authors,author_gender,category,orthography,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,rfdsd
SvB_BS_146,Mörka platser,Gillian Flynn,F,CRIME,quot,159647,149390,134157,243733,233781,275735,309398,316356,292856,225907,234096
SvB_BS_147,Gideons ring,Carin Gerhardsen,F,CRIME,dash,146386,442948,312443,186677,254531,313152,310994,490837,300395,221322,297966
SvB_BS_148,Och bergen svarade,Khaled Hosseini,M,OTHER,quot,87852,81328,114453,164351,150034,123772,203236,171044,149780,140557,138641
SvB_BS_149,Flaskpost från P,Jussi Adler-Olsen,M,CRIME,quot,252062,354437,302399,244363,437272,411150,351663,339795,349075,267272,330948
SvB_BS_150,Torka aldrig tårar utan handskar: 2. Sjukdomen,Jonas Gardell,M,OTHER,quot,135301,56551,49909,172471,108126,197314,171476,204610,251410,200663,154782
SvB_BS_151,Egenmäktigt förfarande : En roman om kärlek,Lena Andersson,F,PRESTIGE,dash,100899,262455,144838,70878,9245,245956,288392,75758,211608,276323,168635
SvB_BS_152,Handen : ett fall för Wallander,Henning Mankell,M,CRIME,dash,173277,362096,378274,336287,515023,423729,374422,508860,464946,376733,391356
SvB_BS_153,Rörgast,Johan Theorin,M,CRIME,quot,197607,179119,199243,251506,335141,190222,267321,240317,176779,169995,220726
SvB_BS_154,Att inte vilja se,Jan Guillou,M,OTHER,quot,79955,139176,124301,153861,182852,116806,127807,196779,60256,75036,125682
SvB_BS_155,Stalker,Lars Kepler,2,CRIME,dash,264039,260922,291141,235835,418074,318937,261777,262989,207754,162497,268397
SvB_BS_156,Gone Girl,Gillian Flynn,F,CRIME,quot,101806,236619,229326,279127,362016,233149,357172,374132,329726,278555,278162
SvB_BS_157,Lejontämjaren,Camilla Läckberg,F,CRIME,quot,164403,349716,338766,434768,411255,380750,550378,330278,301502,281640,354344
SvB_BS_158,VIP-rummet,Jens Lapidus,M,CRIME,quot,196956,321232,351522,232014,369636,374313,311976,351819,276169,317470,310311
SvB_BS_159,Sophies historia,Jojo Moyes,F,ROMANCE,quot,254598,188097,269496,293707,408551,382866,242104,342904,339877,228620,295083
SvB_BS_160,Utan personligt ansvar,Lena Andersson,F,OTHER,dash,198527,150416,167189,203055,149734,306790,223101,135688,141416,313923,198985
SvB_BS_161,Sonen,Jo Nesbø,M,CRIME,quot,314236,342274,281962,340263,401952,352512,282892,436077,240854,406158,339917
SvB_BS_162,Än klappar hjärtan,Helena von Zweigbergk,F,OTHER,quot,203020,283720,254540,203805,114999,231791,254469,203690,331230,228085,230935
SvB_BS_163,Jag heter inte Miriam,Majgull Axelsson,F,OTHER,quot,72751,72828,107398,172544,159561,93032,254360,106553,273412,259834,157226
SvB_BS_164,Steglitsan,Donna Tartt,F,PRESTIGE,quot,150824,312815,273799,309972,319837,235330,293427,476142,360634,334715,306749
SvB_BS_165,De underkända,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,quot,173207,298686,170302,179960,217487,196660,205786,198686,202774,193849,203740
SvB_BS_166,Blå stjärnan,Jan Guillou,M,OTHER,quot,227604,234741,189970,174358,291851,269328,317297,193079,202995,209049,231027
SvB_BS_167,Det som inte dödar oss : Millennium 4,David Lagercrantz,M,CRIME,quot,304705,294807,288881,370512,507390,240920,464064,582503,400209,351994,380598
SvB_BS_168,Bombmakaren och hans kvinna,Leif G.W. Persson,M,CRIME,dash,349303,467362,547532,367973,483012,357677,324593,359325,496877,409390,416305
SvB_BS_169,Britt-Marie var här,Fredrik Backman,M,OTHER,dash,260639,207387,285226,293936,284785,250055,231312,297685,270562,268026,264961
SvB_BS_170,Mördar-Anders och hans vänner (samt en och annan ovän),Jonas Jonasson,M,OTHER,dash,212239,128168,250144,181020,208957,181884,200317,159274,194412,163450,187987
SvB_BS_171,Allt jag inte minns,Jonas Hassen Khemiri,M,PRESTIGE,dash,44093,151156,101870,310675,195408,253003,194799,187167,111922,134732,168481
SvB_BS_172,STHLM DELETE,Jens Lapidus,M,CRIME,quot,166150,260131,300214,292980,238724,267715,260574,260943,267365,213996,252879
SvB_BS_173,Det är något som inte stämmer,Martina Haag,F,OTHER,dash,406858,68851,270215,416944,149693,171743,337769,94446,53992,12542,198311
SvB_BS_174,Playground,Lars Kepler,2,CRIME,quot,123399,186541,249568,305347,292366,341974,200854,310156,177290,170987,235847
SvB_BS_175,Järnblod,Liza Marklund,F,CRIME,dash,192273,364652,419073,218100,240021,228597,351091,429598,284046,316560,304401
SvB_BS_176,Arvet efter dig,Jojo Moyes,F,ROMANCE,quot,283821,418470,410166,382989,374685,372222,349941,403540,432729,353716,378227
