id,title,all_authors,author_gender,translation,publisher,publication_date,subset,award,category,orthography
SvB_BS_292,Broder Jakob,Emelie Schepp,F,no,HarperCollins Nordic,2019-03-21,bestseller,,CRIME,dash
SvB_BS_293,Löparna,Olga Tokarczuk,F,transl,Bonnier Audio,2019-11-29,bestseller,Nobel,PRESTIGE,dash
SvB_BS_294,Bergens stjärnor,Jojo Moyes,F,transl,Printz Publishing,2019-10-07,bestseller,,ROMANCE,quot
SvB_BS_295,Skamvrån,Sofie Sarenbrant,F,no,Stockholm Text,2019-05-20,bestseller,,CRIME,quot
SvB_BS_296,Folk med ångest,Fredrik Backman,M,no,Bonnier Audio,2019-04-25,bestseller,,OTHER,quot
SvB_BS_297,I hemlighet begravd,Viveca Sten,F,no,Bonnier Audio,2019-10-21,bestseller,,CRIME,quot
SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,Jonas Jonasson,M,no,Piratförlaget,2018-10-15,bestseller,,OTHER,dash
SvB_BS_299,Jamåhonleva,Anders Roslund,M,no,Bonnier Audio,2019-07-19,bestseller,,CRIME,dash
SvB_BS_301,En helt vanlig familj,Mattias Edvardsson,M,no,Bonnier Audio,2018-06-20,bestseller,,CRIME,quot
SvB_BS_302,Bokhandeln på Riverside Drive,Frida Skybäck,F,no,Modern Audio,2018-07-18,bestseller,,ROMANCE,quot
SvB_BS_303,Tatueraren i Auschwitz,Heather Morris,F,transl,Bokförlaget NoNa,2018-12-11,bestseller,,OTHER,quot
SvB_BS_304,Sommar på den lilla ön i havet,Jenny Colgan,F,transl,Norstedts,2018-05-12,bestseller,,ROMANCE,quot
SvB_BS_305,Det som göms i snö,Carin Gerhardsen,F,no,Stockholm Text,2018-09-25,bestseller,,CRIME,dash
SvB_BS_306,Motiv X,Stefan Ahnhem,M,no,Bonnier Audio,2018-09-19,bestseller,,CRIME,quot
SvB_BS_308,På egen hand,Marian Keyes,M,transl,Norstedts,2018-08-03,bestseller,,ROMANCE,quot
SvB_BS_309,Spegelmannen,Lars Kepler,2,no,Bonnier Audio,2020-10-21,bestseller,,CRIME,dash
SvB_BS_310,Där kräftorna sjunger,Delia Owens,F,transl,Bonnier Audio,2020-04-29,bestseller,,OTHER,quot
SvB_BS_311,Samlade verk,Lydia Sandgren,F,no,Bonnier Audio,2020-05-13,bestseller,August,PRESTIGE,quot
SvB_BS_312,Vingar av silver,Camilla Läckberg,F,no,Bonnier Audio,2020-05-13,bestseller,,CRIME,quot
SvB_BS_313,Slutet på historien,Jan Guillou,M,no,Piratförlaget,2020-08-24,bestseller,,OTHER,quot
