id,title,all_authors,author_gender,category,orthography,rfdsd,mninsl,wc
SvB_BS_144,I farans riktning,Viveca Sten,F,CRIME,quot,296355,10.695864661654136,96003
SvB_BS_145,Min mormor hälsar och säger förlåt,Fredrik Backman,M,OTHER,dash,205014,11.02087114337568,118480
SvB_BS_146,Mörka platser,Gillian Flynn,F,CRIME,quot,234096,14.844251030691709,138426
SvB_BS_147,Gideons ring,Carin Gerhardsen,F,CRIME,dash,297966,13.01105216622458,98773
SvB_BS_148,Och bergen svarade,Khaled Hosseini,M,OTHER,quot,138641,9.59824046920821,118039
SvB_BS_149,Flaskpost från P,Jussi Adler-Olsen,M,CRIME,quot,330948,14.483754512635379,145473
SvB_BS_150,Torka aldrig tårar utan handskar: 2. Sjukdomen,Jonas Gardell,M,OTHER,quot,154782,9.524489795918367,60304
SvB_BS_151,Egenmäktigt förfarande : En roman om kärlek,Lena Andersson,F,PRESTIGE,dash,168635,10.1972049689441,38942
SvB_BS_152,Handen : ett fall för Wallander,Henning Mankell,M,CRIME,dash,391356,12.300242130750606,25961
SvB_BS_153,Rörgast,Johan Theorin,M,CRIME,quot,220726,7.662085449656408,116185
SvB_BS_154,Att inte vilja se,Jan Guillou,M,OTHER,quot,125682,14.052966101694915,105552
SvB_BS_155,Stalker,Lars Kepler,2,CRIME,dash,268397,8.304079382579934,140311
SvB_BS_156,Gone Girl,Gillian Flynn,F,CRIME,quot,278162,14.877005347593583,170023
SvB_BS_157,Lejontämjaren,Camilla Läckberg,F,CRIME,quot,354344,15.455757126990004,117812
SvB_BS_158,VIP-rummet,Jens Lapidus,M,CRIME,quot,310311,13.681833060556464,134697
SvB_BS_159,Sophies historia,Jojo Moyes,F,ROMANCE,quot,295083,11.725871106999692,128869
SvB_BS_160,Utan personligt ansvar,Lena Andersson,F,OTHER,dash,198985,11.882736156351791,73332
SvB_BS_161,Sonen,Jo Nesbø,M,CRIME,quot,339917,11.053935483870967,126013
SvB_BS_162,Än klappar hjärtan,Helena von Zweigbergk,F,OTHER,quot,230935,12.55012987012987,104614
SvB_BS_163,Jag heter inte Miriam,Majgull Axelsson,F,OTHER,quot,157226,9.091959129275878,130169
SvB_BS_164,Steglitsan,Donna Tartt,F,PRESTIGE,quot,306749,11.551728586171311,291929
SvB_BS_165,De underkända,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,quot,203740,8.21980854197349,109576
SvB_BS_166,Blå stjärnan,Jan Guillou,M,OTHER,quot,231027,14.146793587174349,122224
SvB_BS_167,Det som inte dödar oss : Millennium 4,David Lagercrantz,M,CRIME,quot,380598,16.742103649187367,143448
SvB_BS_168,Bombmakaren och hans kvinna,Leif G.W. Persson,M,CRIME,dash,416305,13.923553719008265,145689
SvB_BS_169,Britt-Marie var här,Fredrik Backman,M,OTHER,dash,264961,10.87420814479638,90700
SvB_BS_170,Mördar-Anders och hans vänner (samt en och annan ovän),Jonas Jonasson,M,OTHER,dash,187987,11.36118363794604,69441
SvB_BS_171,Allt jag inte minns,Jonas Hassen Khemiri,M,PRESTIGE,dash,168481,8.60916860916861,65764
SvB_BS_172,STHLM DELETE,Jens Lapidus,M,CRIME,quot,252879,12.711688311688311,135472
SvB_BS_173,Det är något som inte stämmer,Martina Haag,F,OTHER,dash,198311,11.723146747352496,39075
SvB_BS_174,Playground,Lars Kepler,2,CRIME,quot,235847,7.631907894736842,98373
SvB_BS_175,Järnblod,Liza Marklund,F,CRIME,dash,304401,9.914297658862877,77907
SvB_BS_176,Arvet efter dig,Jojo Moyes,F,ROMANCE,quot,378227,12.494596841230258,119222
SvB_BS_177,Björndansen,Roslund & Thunberg,M,CRIME,dash,238687,9.748540637629098,181912
SvB_BS_179,Konsten att höra hjärtslag,Jan-Philipp Sendker,M,ROMANCE,quot,98965,11.386605783866058,75592
SvB_BS_180,Etthundra mil,Jojo Moyes,F,ROMANCE,quot,331539,9.987719787887245,107939
SvB_BS_181,Sista brevet från din älskade,Jojo Moyes,F,ROMANCE,quot,317030,10.79706939452585,123184
SvB_BS_182,Visning pågår,Sofie Sarenbrant,F,CRIME,quot,254462,10.052824988516306,86005
SvB_BS_184,Lotus blues,Kristina Ohlsson,F,CRIME,dash,342580,11.069209474007998,105044
SvB_BS_185,Offer utan ansikte,Stefan Ahnhem,M,CRIME,quot,272950,12.95183741648107,170445
SvB_BS_186,Öppnas i händelse av min död,Liane Moriarty,F,ROMANCE,quot,237154,9.219992567818656,104620
SvB_BS_187,Stoner,John Williams,M,OTHER,quot,240822,13.406882591093117,82505
SvB_BS_188,I skymningen sjunger koltrasten,Linda Olsson,F,OTHER,quot,348029,21.93073593073593,58225
SvB_BS_189,I maktens skugga,Viveca Sten,F,CRIME,quot,306196,10.743153219837158,94802
SvB_BS_190,Jakthundarna,Jørn Lier Horst,M,CRIME,quot,233246,8.915407854984894,88563
SvB_BS_191,Den stumma flickan,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,quot,195287,9.14068863383932,126424
SvB_BS_192,Tre minuter,Roslund & Hellström,M,CRIME,dash,230923,12.072904483430799,134101
SvB_BS_193,Kaninjägaren,Lars Kepler,2,CRIME,dash,227930,8.148562300319488,134278
SvB_BS_194,Kan man dö två gånger? : En roman om ett brott,Leif G.W. Persson,M,CRIME,dash,432571,12.33200354609929,128631
SvB_BS_196,Simma med de drunknade,Lars Mytting,M,OTHER,quot,232869,10.909090909090908,112338
SvB_BS_197,Ljuset vi inte ser,Anthony Doerr,M,PRESTIGE,quot,134090,8.786610878661088,125289
SvB_BS_198,Avdelning 73,Sofie Sarenbrant,F,CRIME,quot,202393,8.883679525222552,73960
