id,title,all_authors,author_gender,category,orthography,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,rfdsd
SvB_BS_259,Sommar på strandpromenaden,Jenny Colgan,F,ROMANCE,quot,185703,325906,271162,312335,458688,411991,395909,504355,447347,344541,368368,381608,243621,227669,445930,342111,112799,199109,224180,367025,328516
SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,Jenny Colgan,F,ROMANCE,quot,160897,148158,282470,408751,488784,363611,339795,162559,298532,595126,291609,330102,284963,311271,371919,474107,335364,292163,355303,322715,330910
SvB_BS_261,Lazarus,Lars Kepler,2,CRIME,dash,191998,289702,286290,255933,250310,310949,251900,333437,125620,224911,218672,247364,138803,138359,385236,152295,174965,281948,44510,102373,220280
SvB_BS_263,Bränn alla mina brev,Alex Schulman,M,OTHER,quot,94407,55159,62277,177778,172222,81317,259921,169444,136454,40873,176587,218564,92460,146825,251488,229762,114286,368901,107937,30556,149364
SvB_BS_264,De som dödar drömmar sover aldrig,Jan Guillou,M,OTHER,quot,123222,63619,109015,143862,135550,114112,135390,332641,106458,242168,231740,281010,141944,82801,15985,182356,105019,143382,254156,261829,160313
SvB_BS_265,En andra chans,Jojo Moyes,F,ROMANCE,quot,359695,283821,356721,336407,290982,412044,325169,349950,334630,299092,251405,366950,411553,296355,190318,455986,423509,391730,166114,127215,321484
SvB_BS_266,Ett mörker mitt ibland oss,Mari Jungstedt,F,CRIME,dash,562,30065,359652,320315,283024,382692,523462,386344,447598,221473,210452,449284,147513,400674,317313,311885,431020,247822,200337,53963,286276
SvB_BS_267,I fel sällskap,Viveca Sten,F,CRIME,quot,269458,270219,299524,208754,314427,224738,246622,400381,281827,281500,187821,288487,272122,334348,460792,89248,312274,133777,275928,155120,265367
SvB_BS_268,Syndabocken,Sofie Sarenbrant,F,CRIME,quot,148919,65964,128413,253784,324142,429846,247027,241957,138416,312787,198108,225196,267910,217568,286834,250068,362162,358746,145174,184374,239370
SvB_BS_269,En högre rättvisa,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,quot,142012,107553,164462,249565,227985,150540,227463,250957,124956,163795,198573,276366,122172,230943,238253,210407,308562,202402,227811,160836,199281
SvB_BS_270,De vänsterhäntas förening,Håkan Nesser,M,CRIME,quot,166332,286795,273710,381158,226409,435125,270425,425946,195860,364479,3089,382762,533127,456371,472505,114286,384556,439141,396757,366080,328744
SvB_BS_271,Tre timmar,Anders Roslund,M,CRIME,dash,293891,188705,245952,233809,396106,486893,203161,346955,346376,360447,428984,78643,386469,180802,179067,191981,167502,400925,304549,127795,277452
SvB_BS_273,1793,Niklas Natt och Dag,M,CRIME,quot,245972,475116,403402,462048,430797,458110,258013,225922,110833,136233,327605,346643,268528,117816,415682,571173,461511,161683,587182,587466,352588
SvB_BS_274,Den lilla bokhandeln runt hörnet,Jenny Colgan,F,ROMANCE,quot,308952,190630,160360,286868,437111,173050,232633,348258,400554,235634,328871,271112,487191,404108,435395,157858,303485,160129,295407,420032,301880
SvB_BS_275,Silvervägen,Stina Jackson,F,CRIME,dash,116571,110588,221961,205752,136993,198431,324706,244444,236863,387974,358076,334902,223007,226928,231373,333333,192941,220654,278954,213072,239876
SvB_BS_276,Bara ett barn,Malin Persson Giolito,F,CRIME,quot,174235,339149,339469,123327,421468,357792,412383,133604,278269,321463,196941,403299,139101,79847,80545,406646,397945,204160,359943,291657,273058
SvB_BS_277,Ensam i Paris (och andra historier),Jojo Moyes,F,ROMANCE,quot,260589,237588,273492,296774,423562,447405,359607,496774,379804,368687,318373,481346,471529,268443,333520,421599,355680,397195,160168,402076,357710
SvB_BS_278,Husdjuret,Camilla Grebe,F,CRIME,dash,39794,149079,151059,180756,235201,214809,144950,196397,316373,300535,255989,358543,198179,280000,112255,124728,192437,192635,153633,260990,202916
SvB_BS_279,Den tyska flickan,Armando Lucas Correa,M,OTHER,quot,68049,63526,104797,100908,76923,111927,107390,94425,151901,126621,70210,113008,145203,136992,202895,99395,161193,49481,111279,74330,108522
SvB_BS_280,Strandcaféet,Lucy Diamond,F,ROMANCE,quot,125024,190402,329627,233710,255510,340031,301541,309598,474156,320718,263702,432111,409791,313890,284962,353687,209869,231760,375463,378073,306681
SvB_BS_281,Kvinnan i fönstret,A.J. Finn,M,CRIME,quot,105593,220367,192821,345231,388773,195743,159224,205385,400876,152963,156928,245669,145868,82220,440109,168232,268990,343280,527129,207472,247644
SvB_BS_282,Blodlokan,Louise Boije af Gennäs,F,CRIME,quot,256615,271593,367177,273257,274967,440672,171077,326065,388251,287284,247795,325512,381991,471792,368176,287402,273257,419940,384091,342876,327988
SvB_BS_283,Syndafloder,Kristina Ohlsson,F,CRIME,dash,138922,115569,295069,205988,262874,325414,315569,302196,248153,359880,260479,320623,252495,408583,350769,203194,372255,466959,438124,263526,295330
SvB_BS_284,Höstdåd,Anders de la Motte,M,CRIME,quot,149945,207053,375410,265252,271337,224840,248127,272273,260259,324232,320331,361367,266812,427903,392261,352005,119675,292713,352317,112672,279840
SvB_BS_285,Pappas pojke,Emelie Schepp,F,CRIME,dash,259406,361276,325044,484928,444982,403960,413952,226843,507262,475248,298570,405810,342574,335387,280308,278389,343454,500880,301870,468970,372952
SvB_BS_286,Hon som måste dö,David Lagercrantz,M,CRIME,quot,67717,231310,283919,415974,261129,256601,190202,209159,441960,388285,450170,538232,215974,347817,627263,72189,342279,127796,527583,319702,315759
SvB_BS_287,En bur av guld,Camilla Läckberg,F,CRIME,quot,70596,207411,242078,256817,216500,150513,254020,189189,223957,274994,296365,359823,379310,311349,219063,227633,307854,280522,255185,288977,250606
SvB_BS_288,1794,Niklas Natt och Dag,M,CRIME,quot,221030,222818,300553,363725,294538,225906,448147,326507,454649,602633,223631,133290,277426,165150,325045,433355,554689,472854,367951,77373,324565
SvB_BS_289,Den andra dödssynden,Jan Guillou,M,OTHER,quot,176040,114087,152473,202321,332262,207820,112658,183750,191573,88377,160329,52321,301732,134619,179254,83393,142296,52669,66060,176429,155524
SvB_BS_290,Jag ser dig,Mari Jungstedt,F,CRIME,dash,72802,247478,12926,295712,342578,226356,276482,439155,410337,464691,343001,438525,177750,246217,281526,260088,431453,531211,230139,104035,291623
SvB_BS_291,Kniv,Jo Nesbø,M,CRIME,quot,227818,344146,320633,408623,511472,374160,401767,414293,513250,523207,551028,516282,235496,230485,194067,429325,199235,338167,108386,374868,360835
SvB_BS_292,Broder Jakob,Emelie Schepp,F,CRIME,dash,255940,419745,379564,271333,599266,399870,627646,443724,340246,609203,455822,496436,391877,478402,459278,517390,470944,488442,288183,198531,429593
SvB_BS_293,Löparna,Olga Tokarczuk,F,PRESTIGE,dash,0,30275,21414,136238,43197,50397,0,101532,57227,56130,0,36736,25106,6646,78641,60550,96363,61104,52243,72009,49290
SvB_BS_294,Bergens stjärnor,Jojo Moyes,F,ROMANCE,quot,163622,403002,372981,319628,414913,467210,344754,357481,299559,459781,369168,341818,313591,203459,374123,257423,238701,294991,411323,251754,332964
SvB_BS_295,Skamvrån,Sofie Sarenbrant,F,CRIME,quot,96852,241528,213170,203317,354722,359529,222543,343427,190820,134102,145638,242490,347272,249700,187695,257630,253304,236001,149003,252584,234066
SvB_BS_296,Folk med ångest,Fredrik Backman,M,OTHER,quot,240639,171957,122859,92694,254853,245490,158447,226307,243891,390728,479224,204385,431377,563699,429550,619548,377854,466545,360813,216945,314891
SvB_BS_297,I hemlighet begravd,Viveca Sten,F,CRIME,quot,251451,356114,338921,217064,311694,402321,271438,310337,329895,241402,242209,235332,95852,39544,252365,242209,256179,93058,84462,266982,241940
SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,Jonas Jonasson,M,OTHER,dash,81040,136315,218233,286758,351107,305956,332975,322296,246399,331757,93938,231563,96538,206578,205332,87293,224635,203397,228123,233498,221185
SvB_BS_299,Jamåhonleva,Anders Roslund,M,CRIME,dash,178888,130309,154332,196998,225273,235716,215723,482347,454297,419751,250341,222753,404502,418898,452763,330036,362551,136961,267565,400307,297015
SvB_BS_301,En helt vanlig familj,Mattias Edvardsson,M,CRIME,quot,111816,258028,269927,228529,262136,350196,356236,251307,155871,145258,330844,346276,277072,304518,315288,160568,274645,310808,328977,216206,262726
SvB_BS_302,Bokhandeln på Riverside Drive,Frida Skybäck,F,ROMANCE,quot,41571,154853,96890,201997,222586,422982,295417,258962,162357,447373,239607,291046,348282,280242,244190,259944,355155,293010,192144,354068,258131
SvB_BS_303,Tatueraren i Auschwitz,Heather Morris,F,OTHER,quot,94454,175521,382313,271352,238736,417283,275387,198722,190652,251849,374790,515131,287492,338265,405514,272360,69939,252858,355750,149294,275882
SvB_BS_304,Sommar på den lilla ön i havet,Jenny Colgan,F,ROMANCE,quot,138521,118666,281805,240753,285226,252298,341813,419927,426983,280308,258927,329912,286508,129115,396622,201839,234766,386786,359846,326064,284832
SvB_BS_305,Det som göms i snö,Carin Gerhardsen,F,CRIME,dash,86681,341996,250055,339375,22276,321686,346145,163354,35161,276698,139956,301157,249181,136711,98275,19873,200044,193055,244813,160079,196327
SvB_BS_306,Motiv X,Stefan Ahnhem,M,CRIME,quot,106365,403088,250108,491269,206523,288353,38678,307259,349112,452656,333381,365276,428778,404099,189060,406552,462549,228893,125415,307592,307249
SvB_BS_308,På egen hand,Marian Keyes,M,ROMANCE,quot,235182,189855,303453,249606,137442,281858,322573,369854,363289,343156,345181,339933,394894,450793,433922,346119,467327,362839,373411,473678,339218
SvB_BS_309,Spegelmannen,Lars Kepler,2,CRIME,dash,54629,127761,247792,180272,361302,213643,236343,296417,389271,220514,412987,303615,179097,330443,271344,350564,397776,156224,253026,314739,264889
SvB_BS_310,Där kräftorna sjunger,Delia Owens,F,OTHER,quot,91574,252790,145825,225087,154867,157176,282663,301077,84840,320893,312043,173721,557907,459688,271066,255290,611197,528280,564063,73119,291159
SvB_BS_311,Samlade verk,Lydia Sandgren,F,PRESTIGE,quot,73573,192955,134999,206855,110099,194343,241281,274794,93354,236075,146365,232104,221586,248829,188704,140824,110186,108017,125803,191063,173590
SvB_BS_312,Vingar av silver,Camilla Läckberg,F,CRIME,quot,146424,180926,374579,274614,435624,229237,150351,486957,376263,338850,332679,256453,290042,402244,120090,263675,366900,150954,180365,313973,283562
